Bioproject,Run,Agent,Assay_Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type_line,Center_Name,Consent,DATASTORE_filetype,DATASTORE_provider,DATASTORE_region,Experiment,GEO_Accession_exp,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample_Name,Source_Name,SRA_Study,Genotype,Infection,Tissue,iav_strain,Molecule_Subtype,Treatment,treatment_time,Biomaterial_Provider,siRNA,Donor,Post_Preatment,Time_Point,Patient_Number
PRJNA494313,SRR7948444,Uninfected DMSO,RNA-Seq,302,6053089888,PRJNA494313,SAMN10160533,2414926050,Bronchial epithelial cells (BECs),GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX4782393,GSM3409423,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-10-02T00:00:00Z,GSM3409423,Uninfected DMSO donor 1 rep1,SRP163118,,,,,,,,,,,,,
PRJNA494313,SRR7948445,Uninfected DMSO,RNA-Seq,302,14253988374,PRJNA494313,SAMN10160532,5352731365,Bronchial epithelial cells (BECs),GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX4782394,GSM3409424,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-10-02T00:00:00Z,GSM3409424,Uninfected DMSO donor 1 rep2,SRP163118,,,,,,,,,,,,,
PRJNA494313,SRR7948446,Uninfected DMSO,RNA-Seq,302,8009884090,PRJNA494313,SAMN10160531,2991054251,Bronchial epithelial cells (BECs),GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX4782395,GSM3409425,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-10-02T00:00:00Z,GSM3409425,Uninfected DMSO donor 2 rep1,SRP163118,,,,,,,,,,,,,
PRJNA494313,SRR7948447,Uninfected DMSO,RNA-Seq,302,11244582836,PRJNA494313,SAMN10160530,4172763650,Bronchial epithelial cells (BECs),GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX4782396,GSM3409426,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-10-02T00:00:00Z,GSM3409426,Uninfected DMSO donor 2 rep 2,SRP163118,,,,,,,,,,,,,
PRJNA494313,SRR7948452,H1N1 DMSO,RNA-Seq,302,8741624654,PRJNA494313,SAMN10160541,3322407603,Bronchial epithelial cells (BECs),GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX4782401,GSM3409431,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-10-02T00:00:00Z,GSM3409431,H1N1 DMSO donor 1 rep1,SRP163118,,,,,,,,,,,,,
PRJNA494313,SRR7948453,H1N1 DMSO,RNA-Seq,302,9696446276,PRJNA494313,SAMN10160540,3636160219,Bronchial epithelial cells (BECs),GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX4782402,GSM3409432,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-10-02T00:00:00Z,GSM3409432,H1N1 DMSO donor 1 rep2,SRP163118,,,,,,,,,,,,,
PRJNA494313,SRR7948454,H1N1 DMSO,RNA-Seq,302,9103024732,PRJNA494313,SAMN10160539,3434743899,Bronchial epithelial cells (BECs),GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX4782403,GSM3409433,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-10-02T00:00:00Z,GSM3409433,H1N1 DMSO donor 2 rep1,SRP163118,,,,,,,,,,,,,
PRJNA494313,SRR7948455,H1N1 DMSO,RNA-Seq,302,8258899398,PRJNA494313,SAMN10160538,3320065649,Bronchial epithelial cells (BECs),GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX4782404,GSM3409434,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-10-02T00:00:00Z,GSM3409434,H1N1 DMSO donor 2 rep 2,SRP163118,,,,,,,,,,,,,
PRJNA664043,SRR12606565,,RNA-Seq,300,7838693400,PRJNA662224,SAMN16078524,2414318004,A549 cells,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX9090232,GSM4771574,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-09T00:00:00Z,GSM4771574,wildtype A549 cells,SRP281173,wildtype,the cells were inoculated with PR8/H1N1 virus at an MOI of 1 for 0 hour,,,,,,,,,,,
PRJNA664043,SRR12606566,,RNA-Seq,300,7264931700,PRJNA662224,SAMN16078523,2227237706,A549 cells,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX9090233,GSM4771575,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-09T00:00:00Z,GSM4771575,wildtype A549 cells,SRP281173,wildtype,the cells were inoculated with PR8/H1N1 virus at an MOI of 1 for 0 hour,,,,,,,,,,,
PRJNA664043,SRR12606569,,RNA-Seq,300,6784171500,PRJNA662224,SAMN16078520,2089762006,A549 cells,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX9090236,GSM4771578,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-09T00:00:00Z,GSM4771578,wildtype A549 cells,SRP281173,wildtype,the cells were inoculated with PR8/H1N1 virus at an MOI of 1 for 12 hours,,,,,,,,,,,
PRJNA664043,SRR12606570,,RNA-Seq,300,6562754700,PRJNA662224,SAMN16078519,2024705003,A549 cells,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX9090237,GSM4771579,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-09T00:00:00Z,GSM4771579,wildtype A549 cells,SRP281173,wildtype,the cells were inoculated with PR8/H1N1 virus at an MOI of 1 for 12 hours,,,,,,,,,,,
PRJNA681319,SRR13161289,,RNA-Seq,302,1919137218,PRJNA681319,SAMN16949045,868889841,A549,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX9600267,GSM4948586,Illumina MiSeq,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-11-30T00:00:00Z,GSM4948586,Lung epithelial cells,SRP294598,,,,,,"untreated control\, time matched for infected cells",12 hours,"ATCC\, CCL-185",,,,,
PRJNA681319,SRR13161290,,RNA-Seq,302,1834512590,PRJNA681319,SAMN16949044,836553548,A549,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX9600268,GSM4948587,Illumina MiSeq,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-11-30T00:00:00Z,GSM4948587,Lung epithelial cells,SRP294598,,,,,,"untreated control\, time matched for infected cells",12 hours,"ATCC\, CCL-185",,,,,
PRJNA681319,SRR13161291,,RNA-Seq,302,1886765838,PRJNA681319,SAMN16949043,854354654,A549,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX9600269,GSM4948588,Illumina MiSeq,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-11-30T00:00:00Z,GSM4948588,Lung epithelial cells,SRP294598,,,,,,"untreated control\, time matched for infected cells",12 hours,"ATCC\, CCL-185",,,,,
PRJNA681319,SRR13161303,,RNA-Seq,302,1528020944,PRJNA681319,SAMN16949058,696296739,A549,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX9600281,GSM4948600,Illumina MiSeq,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-11-30T00:00:00Z,GSM4948600,Lung epithelial cells,SRP294598,,,,,,Influenza A/Port Chalmers/1/73 (H3N2) infected at MOI1,6 hour post infection [hpi],"ATCC\, CCL-185",,,,,
PRJNA681319,SRR13161306,,RNA-Seq,302,1937280472,PRJNA681319,SAMN16949055,878455751,A549,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX9600284,GSM4948603,Illumina MiSeq,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-11-30T00:00:00Z,GSM4948603,Lung epithelial cells,SRP294598,,,,,,Influenza A/Port Chalmers/1/73 (H3N2) infected at MOI1,8 hour post infection [hpi],"ATCC\, CCL-185",,,,,
PRJNA681319,SRR13161309,,RNA-Seq,302,2419766242,PRJNA681319,SAMN16949052,1101299177,A549,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX9600261,GSM4948606,Illumina MiSeq,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-11-30T00:00:00Z,GSM4948606,Lung epithelial cells,SRP294598,,,,,,Influenza A/Port Chalmers/1/73 (H3N2) infected at MOI1,12 hour post infection [hpi],"ATCC\, CCL-185",,,,,
PRJNA706691,SRR13858418,Mock,RNA-Seq,100,3560011100,PRJNA706691,SAMN18140350,2148675195,adenocarcinomic human alveolar basal epithelial cells,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX10239433,GSM5135054,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-03-11T00:00:00Z,GSM5135054,A549 (CCL-185),SRP309315,,,,,,,,,siNTC,,,,
PRJNA706691,SRR13858419,Mock,RNA-Seq,100,2740637000,PRJNA706691,SAMN18140348,1683410883,adenocarcinomic human alveolar basal epithelial cells,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX10239434,GSM5135055,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-03-11T00:00:00Z,GSM5135055,A549 (CCL-185),SRP309315,,,,,,,,,siNTC,,,,
PRJNA706691,SRR13858422,influenza A virus,RNA-Seq,100,3389970700,PRJNA706691,SAMN18140343,2068573465,adenocarcinomic human alveolar basal epithelial cells,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX10239437,GSM5135058,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-03-11T00:00:00Z,GSM5135058,A549 (CCL-185),SRP309315,,,,,,,,,siNTC,,,,
PRJNA706691,SRR13858423,influenza A virus,RNA-Seq,100,3184528500,PRJNA706691,SAMN18140341,1923419904,adenocarcinomic human alveolar basal epithelial cells,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX10239438,GSM5135059,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-03-11T00:00:00Z,GSM5135059,A549 (CCL-185),SRP309315,,,,,,,,,siNTC,,,,
PRJNA722929,SRR14272444,,RNA-Seq,300,13068054000,PRJNA722929,SAMN18795748,4828965712,A549,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX10633931,GSM5252409,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-07-17T00:00:00Z,GSM5252409,A549 cells,SRP315324,,untreated,,,,,,,,,,,
